                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.1337,                0.68305,                 1.0985,                0.89818,                   0.94,                0.94385,                0.64887,                  1.088,                0.64183,                 1.0572,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1174,                0.68169,                 1.1121,                0.93358,                0.95082,                 0.9853,                0.67706,                 1.1028,                0.63453,                 1.0566,                0.00101,                0.00101,                0.00101
                     52,                 1.1387,                0.67273,                 1.1058,                0.96033,                0.94262,                 0.9827,                0.65505,                 1.1619,                0.61109,                 1.0937,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1801,                 0.6913,                 1.1266,                0.95024,                0.93927,                0.96946,                0.65805,                  1.118,                0.59848,                 1.0841,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1726,                0.67815,                 1.1211,                0.92912,                0.96699,                0.97165,                0.65334,                 1.0844,                0.66803,                 1.0818,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1143,                0.67952,                 1.0908,                0.96032,                0.96721,                0.98951,                0.68423,                 1.0429,                0.57433,                 1.0677,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1307,                0.61763,                  1.117,                0.94441,                0.97468,                0.98372,                0.68526,                 1.0629,                0.57231,                 1.0534,               0.000911,               0.000911,               0.000911
                     57,                 1.1579,                0.67056,                  1.098,                0.92039,                 0.9476,                0.96255,                0.69153,                 1.0505,                0.56063,                 1.0516,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1194,                0.63454,                 1.1074,                0.93384,                0.98361,                0.98923,                0.70146,                 1.0466,                0.54553,                 1.0518,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0819,                0.70105,                 1.0663,                0.95229,                0.98157,                 0.9866,                0.68683,                 1.0552,                0.56409,                 1.0748,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0853,                0.62081,                 1.0955,                0.95037,                0.98361,                0.98597,                0.69617,                 1.0323,                0.54081,                 1.0524,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0631,                0.62081,                 1.0689,                 0.9596,                0.97359,                0.98951,                0.70027,                 1.0221,                 0.5345,                 1.0609,               0.000812,               0.000812,               0.000812
                     62,                 1.1063,                0.62105,                 1.0861,                0.95131,                0.96092,                0.98246,                0.70213,                  1.048,                0.55059,                 1.0581,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1231,                0.61782,                 1.0935,                0.95085,                0.98361,                0.99199,                0.68131,                 1.0562,                0.53455,                 1.0656,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0571,                0.61351,                 1.0854,                0.99157,                 0.9647,                0.99364,                0.70808,                 1.0156,                0.51617,                 1.0407,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0643,                0.59556,                 1.0646,                0.96191,                0.98361,                0.99021,                0.69777,                  1.066,                0.52884,                 1.0557,              0.0007328,              0.0007328,              0.0007328
                     66,                  1.065,                0.60237,                 1.0938,                0.95833,                0.98361,                0.98873,                0.71261,                0.98794,                0.51142,                 1.0416,               0.000713,               0.000713,               0.000713
