                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.97002,                0.39036,                 1.0123,                0.99142,                0.97906,                0.99322,                0.74047,                 1.0277,                0.34834,                 1.0149,               0.002872,               0.002872,               0.002872
                     74,                0.96542,                0.38676,                 1.0063,                0.99246,                0.97789,                0.99302,                0.74126,                 1.0286,                0.34921,                   1.02,               0.002773,               0.002773,               0.002773
                     75,                 0.9731,                0.38996,                 1.0114,                0.99058,                0.97825,                0.99317,                0.74232,                 1.0313,                0.35064,                  1.023,               0.002674,               0.002674,               0.002674
                     76,                 0.9617,                0.38353,                 1.0109,                0.98925,                 0.9808,                 0.9938,                0.73872,                 1.0337,                0.34771,                 1.0259,               0.002575,               0.002575,               0.002575
                     77,                0.95828,                0.38103,                 1.0062,                0.99232,                0.97739,                 0.9935,                0.73873,                 1.0306,                0.34593,                 1.0213,               0.002476,               0.002476,               0.002476
                     78,                0.96071,                0.38056,                 1.0086,                0.99534,                0.97731,                0.99394,                0.74001,                 1.0304,                 0.3435,                 1.0175,               0.002377,               0.002377,               0.002377
                     79,                0.95182,                0.37749,                 1.0063,                0.99377,                0.97731,                0.99327,                0.73552,                 1.0352,                0.34366,                 1.0189,               0.002278,               0.002278,               0.002278
                     80,                0.95474,                0.37701,                 1.0039,                0.99287,                0.98022,                0.99393,                0.73974,                 1.0291,                0.34411,                 1.0146,               0.002179,               0.002179,               0.002179
                     81,                0.96151,                0.37914,                 1.0052,                0.98945,                0.98166,                0.99371,                0.73887,                 1.0319,                0.34568,                 1.0143,                0.00208,                0.00208,                0.00208
                     82,                0.94743,                0.37376,                0.99932,                0.99121,                0.98434,                0.99437,                   0.74,                   1.03,                0.34251,                  1.012,               0.001981,               0.001981,               0.001981
                     83,                 0.9435,                0.36979,                 1.0033,                0.99235,                0.98146,                0.99454,                0.74274,                 1.0276,                0.34097,                 1.0134,               0.001882,               0.001882,               0.001882
                     84,                0.94289,                0.36831,                 1.0015,                0.99236,                0.98167,                0.99437,                0.74186,                 1.0287,                0.34061,                 1.0149,               0.001783,               0.001783,               0.001783
                     85,                0.93559,                0.36719,                0.99944,                0.99283,                0.98197,                0.99438,                0.73923,                 1.0338,                0.34393,                 1.0194,               0.001684,               0.001684,               0.001684
                     86,                0.93442,                0.36486,                 0.9961,                  0.994,                0.98197,                 0.9946,                0.73734,                  1.036,                0.34281,                 1.0212,               0.001585,               0.001585,               0.001585
                     87,                0.93516,                0.36432,                 1.0005,                0.99142,                 0.9808,                0.99404,                0.73788,                 1.0344,                0.34088,                  1.021,               0.001486,               0.001486,               0.001486
                     88,                0.93886,                0.36606,                0.99798,                0.99312,                 0.9808,                 0.9938,                0.74017,                 1.0339,                0.34052,                 1.0193,               0.001387,               0.001387,               0.001387
                     89,                0.93494,                0.35841,                0.99765,                0.99303,                0.98022,                0.99381,                0.73927,                 1.0358,                0.34028,                 1.0182,               0.001288,               0.001288,               0.001288
                     90,                0.93538,                0.36061,                0.99579,                0.99233,                0.98022,                 0.9937,                0.73617,                  1.039,                0.34066,                   1.02,               0.001189,               0.001189,               0.001189
                     91,                0.92973,                0.35903,                0.99746,                0.99108,                 0.9808,                0.99373,                0.73767,                 1.0372,                0.33946,                 1.0211,                0.00109,                0.00109,                0.00109
                     92,                0.92727,                0.35803,                0.99911,                0.98771,                0.98215,                 0.9936,                0.73716,                 1.0379,                0.34064,                 1.0219,               0.000991,               0.000991,               0.000991
                     93,                0.92094,                0.35449,                0.99288,                0.98829,                0.98201,                0.99378,                 0.7371,                 1.0363,                0.33909,                 1.0205,               0.000892,               0.000892,               0.000892
                     94,                0.91703,                0.35132,                0.99353,                0.99349,                0.97714,                0.99372,                0.74051,                 1.0353,                0.33859,                 1.0188,               0.000793,               0.000793,               0.000793
                     95,                0.92515,                0.35268,                0.99345,                 0.9906,                0.98043,                0.99364,                0.74082,                 1.0347,                  0.339,                 1.0174,               0.000694,               0.000694,               0.000694
                     96,                0.91346,                0.35006,                0.98997,                0.99003,                 0.9819,                0.99394,                0.74069,                 1.0352,                0.33749,                 1.0183,               0.000595,               0.000595,               0.000595
                     97,                0.90948,                0.34644,                0.98848,                 0.9912,                0.98283,                0.99388,                 0.7396,                 1.0347,                 0.3368,                 1.0187,               0.000496,               0.000496,               0.000496
                     98,                0.90884,                0.34303,                0.99149,                 0.9912,                0.98283,                0.99393,                0.74023,                 1.0375,                0.33763,                 1.0205,               0.000397,               0.000397,               0.000397
                     99,                0.90801,                 0.3425,                0.98804,                 0.9911,                0.98197,                0.99378,                0.73978,                 1.0365,                0.33632,                   1.02,               0.000298,               0.000298,               0.000298
